timestamp,sensor_value,voltage,relay_state
2026-03-06 22:23:04,0,0.00,1
2026-03-06 22:23:05,0,0.00,0
2026-03-06 22:23:05,0,0.00,0
2026-03-06 22:23:06,175,0.14,0
2026-03-06 22:23:06,926,0.75,0
2026-03-06 22:23:07,1375,1.11,0
2026-03-06 22:23:07,1607,1.30,0
2026-03-06 22:23:08,1918,1.55,0
2026-03-06 22:23:08,1867,1.50,0
2026-03-06 22:23:09,1529,1.23,0
2026-03-06 22:23:09,861,0.69,0
2026-03-06 22:23:10,205,0.17,0
2026-03-06 22:23:10,0,0.00,0
2026-03-06 22:23:11,0,0.00,0
2026-03-06 22:23:11,0,0.00,0
2026-03-06 22:23:12,0,0.00,0
2026-03-06 22:23:12,0,0.00,0
2026-03-06 22:23:13,0,0.00,0
2026-03-06 22:23:13,0,0.00,0
2026-03-06 22:23:14,0,0.00,0
2026-03-06 22:23:14,378,0.30,0
2026-03-06 22:23:15,1015,0.82,0
2026-03-06 22:23:15,1490,1.20,0
2026-03-06 22:23:16,1676,1.35,0
2026-03-06 22:23:16,1450,1.17,0
2026-03-06 22:23:17,1823,1.47,0
2026-03-06 22:23:17,1607,1.30,0
2026-03-06 22:23:18,961,0.77,0
2026-03-06 22:23:18,297,0.24,0
2026-03-06 22:23:19,0,0.00,0
2026-03-06 22:23:19,0,0.00,0
2026-03-06 22:23:20,0,0.00,0
2026-03-06 22:23:20,0,0.00,0
2026-03-06 22:23:21,0,0.00,0
2026-03-06 22:23:21,0,0.00,0
2026-03-06 22:23:22,0,0.00,0
2026-03-06 22:23:22,0,0.00,0
2026-03-06 22:23:23,0,0.00,0
2026-03-06 22:23:23,470,0.38,0
2026-03-06 22:23:24,983,0.79,0
2026-03-06 22:23:24,1592,1.28,0
2026-03-06 22:23:25,1801,1.45,0
2026-03-06 22:23:25,1933,1.56,0
2026-03-06 22:23:26,1789,1.44,0
2026-03-06 22:23:26,1472,1.19,0
2026-03-06 22:23:27,899,0.72,0
